"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test retrieval of all test suites with an exception caused by the API.","2","test_get_all_test_suites_exception","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","1","test_run_tool[get_test_case-get_test_case]","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"","1","test_validate_toolkit_missing_parameters_project[project]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"Test retrieval when no test cases are found.","2","test_get_test_cases_no_cases_found","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","4","test_get_files_no_recursion","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","3","test_list_pull_request_diffs_non_edit_change","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test successful addition of test cases to a suite.","2","test_add_test_case_success","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"","1","test_base_branch_existence_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","3","test_create_branch_existing_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"Test logger called when retrieval of a single test suite fails.","2","test_get_test_suite_logs_error","src.tests.ado.test_plan","Wed Mar 19 09:43:30 GMT 2025","passed","Wed Mar 19 09:43:30 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"Test successful getting of all test plans by ids.","2","test_get_all_test_plans_success","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"","3","test_get_work_items_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","1","test_run_tool[get_test_plan-get_test_plan]","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"","1","test_validate_toolkit_exception","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"Test logger called when retrieval of all test suites fails.","2","test_get_all_test_suites_logs_error","src.tests.ado.test_plan","Wed Mar 19 09:43:30 GMT 2025","passed","Wed Mar 19 09:43:30 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"Test logger called when addition of test cases fails.","2","test_add_test_case_logs_error","src.tests.ado.test_plan","Wed Mar 19 09:43:30 GMT 2025","passed","Wed Mar 19 09:43:30 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"","1","test_create_file_on_protected_branch","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"","2","test_get_pull_request_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","1","test_validate_toolkit_connection_failure","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","2","test_list_files_specified_branch","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","2","test_list_open_pull_requests_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"Test successful deletion of a test suite","1","test_delete_test_suite_success","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"Test successful deletion of a test plan.","1","test_delete_test_plan_success","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
"","2","test_run_tool[read_file-read_file]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","2","test_run_tool[list_open_pull_requests-list_open_pull_requests]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"Test deletion of a test plan with exception.","1","test_delete_test_plan_api_error","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"Test logger called when retrieval of a test case fails.","2","test_get_test_case_logs_error","src.tests.ado.test_plan","Wed Mar 19 09:43:30 GMT 2025","passed","Wed Mar 19 09:43:30 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"","2","test_list_open_pull_requests_no_results","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"","2","test_run_tool[comment_on_pull_request-comment_on_pull_request]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","1","test_run_tool[list_files-list_files]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","1","test_run_tool[get_test_suite-get_test_suite]","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"","3","test_update_file_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","1","test_delete_file_branch_not_found","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"Test addition with invalid JSON input.","1","test_add_test_case_invalid_json","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","3","test_validate_toolkit_connection_error","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"","1","test_update_file_no_content_update","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"","1","test_run_tool[create_test_plan-create_test_plan]","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"Test deletion with an exception caused by the API","2","test_delete_test_suite_exception","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","3","test_get_work_items_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","3","test_create_file_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","1","test_run_tool[delete_file-delete_file]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","2","test_create_file_already_exists","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"","2","test_get_pull_request_not_found","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"Test creation of a test plan with invalid JSON format.","1","test_create_test_plan_invalid_json","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
